target,method,positives,base_rate,ap,ap_lift,enrich@0.10,enrich@0.25,enrich@0.50,prec@0.25,clusters@0.25,share@0.25,ap_lift_lo,ap_lift_hi,enrich@0.10_lo,enrich@0.10_hi,enrich@0.25_lo,enrich@0.25_hi,enrich@0.50_lo,enrich@0.50_hi,d_ap_lift,d_ap_lift_lo,d_ap_lift_hi,d_ap_lift_p,d_enrich@0.10,d_enrich@0.10_lo,d_enrich@0.10_hi,d_enrich@0.10_p,d_enrich@0.25,d_enrich@0.25_lo,d_enrich@0.25_hi,d_enrich@0.25_p,d_enrich@0.50,d_enrich@0.50_lo,d_enrich@0.50_hi,d_enrich@0.50_p,d_ap_lift_p_holm,period,attained,max_lift
L2:P2TR,frozen (transferred),1058045,0.40937683192640095,0.8386519576446068,2.04860928257017,2.4265101293663713,2.420585825419585,2.109472982869728,0.9909312997361228,3.0,0.10461912175713609,2.0364536661721497,2.059725833919948,2.408939557180659,2.4428424678697245,2.338102859081899,2.4349291543255744,2.095940215717893,2.121830796021776,,,,,,,,,,,,,,,,,,test,0.8386519576446068,2.4427371605137225
L2:P2TR,constrained refit,1058045,0.40937683192640095,0.8895961954448812,2.1730531179279264,2.44261010472743,2.441001148845459,2.3325988492733725,0.9992884086170384,2.0,0.10437174421770165,2.1592081395169904,2.1858653494023255,2.4248625106215145,2.4594791000124445,2.4226422628228472,2.457597296694269,2.3166659744139633,2.3474895093376835,0.1244438353577566,0.12099120836272251,0.12727273326951638,0.001998001998001998,0.01609997536105867,0.013579638264330066,0.017327790347432946,0.001998001998001998,0.020415323425873932,0.017465403624191123,0.08992730849928887,0.001998001998001998,0.2231258664036444,0.2180777137011608,0.22818550942550772,0.001998001998001998,0.021978021978021976,test,0.8895961954448812,2.4427371605137225
L2:mixed,frozen (transferred),65717,0.0254273770310582,0.22581579964679493,8.880797156812651,11.421536085126156,11.421536085126156,8.639984630620912,0.29042225272420863,2.0,0.023495659479707477,8.760903741477138,8.979569049265159,11.255595600067025,11.578496861679938,11.255595600067025,11.578496861679938,8.2036303593692,8.789633344420432,,,,,,,,,,,,,,,,,,test,0.22581579964679493,39.32768994531181
L2:mixed,constrained refit,65717,0.0254273770310582,0.2909388933324283,11.441977567393625,16.109674152376655,16.109674152376655,10.59057209014398,0.4096253000429865,1.0,0.018595990986458498,11.296674074914893,11.587124958466923,15.88972553883317,16.331787431594588,15.88972553883317,16.331787431594588,10.469199361615095,10.702836786773037,2.561180410580974,2.487415986532466,2.6473980871700533,0.001998001998001998,4.688138067250499,4.555329972224119,4.823296078701681,0.001998001998001998,4.688138067250499,4.555329972224119,4.823296078701681,0.001998001998001998,1.9505874595230672,1.8270093392705247,2.3850740668459265,0.001998001998001998,0.021978021978021976,test,0.2909388933324283,39.32768994531181
L3:runes,frozen (transferred),1041406,0.40293337219818315,0.780256955436961,1.9364839657059199,2.0664743194967614,2.0412037727907837,1.9588679935208484,0.8224572546179407,2.0,0.22937193366713737,1.9212708906453488,1.9522572594258183,2.0453995771687596,2.086501929153313,2.022330011611463,2.060220802824507,1.943162988014474,1.974573989677959,,,,,,,,,,,,,,,,,,test,0.780256955436961,2.4817998929811877
L3:runes,constrained refit,1041406,0.40293337219818315,0.9083792246886391,2.2545139297287413,2.429314185845935,2.416828046936252,2.3122509197524193,0.9737714208952112,2.0,0.2023464220816825,2.232934931056956,2.276231028696635,2.402241255173726,2.4565247821344984,2.3909674444433753,2.44329982563462,2.2896013523524172,2.3685866884217788,0.31802996402282147,0.3087175173753378,0.3274566670408615,0.001998001998001998,0.3628398663491734,0.34773751381283347,0.37810388348374974,0.001998001998001998,0.3756242741454683,0.36326681199599253,0.3889576775043422,0.001998001998001998,0.35338292623157086,0.3441013472905498,0.4042771873504932,0.001998001998001998,0.021978021978021976,test,0.9083792246886391,2.4817998929811877
L3:omni,frozen (transferred),875,0.0003386093892359541,0.008840880050011397,26.227548035541403,31.99493146532566,31.99493146532566,31.99493146532566,0.010795386170962352,1.0,0.02046717152666757,22.73371337901819,29.22467389601869,28.772048513427695,34.63750640741977,28.772048513427695,34.63750640741977,28.781446822998106,34.63750640741977,,,,,,,,,,,,,,,,,,test,0.008840880050011397,2953.255378583632
L3:omni,constrained refit,875,0.0003386093892359541,0.007520170293893985,22.317309028280256,26.83841917724255,26.83841917724255,26.83841917724255,0.009057285323238608,1.0,0.02383727983768311,19.527219431010977,24.75967366983377,24.282511519829832,29.140505085496997,24.282511519829832,29.140505085496997,24.24419485102843,29.140505085496997,-3.910239007261147,-5.195939329154181,-2.392076174422455,0.001998001998001998,-5.1565122880831105,-5.865733519976142,-3.7259280454059804,0.001998001998001998,-5.1565122880831105,-5.865733519976142,-3.7259280454059804,0.001998001998001998,-5.1565122880831105,-5.9273315891281335,-3.7259280454059804,0.001998001998001998,0.021978021978021976,test,0.007520170293893985,2953.255378583632
L3:other_opreturn,frozen (transferred),35010,0.013546251596113144,0.09795964977030996,7.230395765677095,12.828983011896817,9.956035458842761,6.384333245007694,0.13488566272447333,2.0,0.037253845303767116,6.817537921548056,7.73799093282492,11.42286966987833,14.206946028115121,9.543811630331716,10.37842297783798,6.257947040589844,7.4419399782378415,,,,,,,,,,,,,,,,,,test,0.09795964977030996,73.82115952186598
L3:other_opreturn,constrained refit,35010,0.013546251596113144,0.07920345700167994,5.845893600264803,8.460065111766825,7.609126722358283,6.132128448117298,0.10309733099961359,2.0,0.03471916009242733,5.5867139984099765,6.041805258971888,8.045218977737964,8.914413627728177,6.376092271782539,7.976164447977929,5.880924858085326,6.30886647411712,-1.3845021654122913,-1.8873529719476576,-1.01615035218577,0.001998001998001998,-4.368917900129992,-5.84156622154995,-2.9248926281955185,0.001998001998001998,-2.346908736484478,-3.4710970132265806,-2.0203837384672023,0.001998001998001998,-0.2522047968903962,-1.298176419567496,-0.0956329644737021,0.003996003996003996,0.021978021978021976,test,0.07920345700167994,73.82115952186598
