kind,replicate,method,k,fit_seconds,max_share,ari,ami,vi_bits,centroid_shift,mi_rank_tau
seed,8,ZSH,31,27.035069704055786,0.088848,0.882358931901818,0.9024989064168533,0.8777816592510466,0.3925901324812489,0.909090909090909
seed,8,KMeans++ K*,31,31.650514364242554,0.097669,0.7769631310969881,0.8439659862034651,1.3878286642531898,0.29980228544720966,
seed,8,RPW K* (no refinement),31,26.73235297203064,0.123307,0.8985020452714952,0.908813181059161,0.8009745098994886,0.22332158404014565,0.909090909090909
seed,9,ZSH,31,28.467188596725464,0.088919,0.7875816851955433,0.8744482647731155,1.1250972250337596,0.310930717190484,0.9393939393939392
seed,9,KMeans++ K*,31,33.17355012893677,0.096035,0.7197315882816328,0.8265521731962192,1.551445351137799,0.3786088063219701,
seed,9,RPW K* (no refinement),31,28.21831178665161,0.121714,0.8540259424543515,0.8972517101542058,0.9008758362981605,0.1665308944354059,0.9393939393939392
bootstrap,0,ZSH,31,26.613957405090332,0.088141,0.9216986401433195,0.9233831818907263,0.6911665234749973,0.2485623602627338,0.909090909090909
bootstrap,0,KMeans++ K*,31,32.07598567008972,0.095912,0.7684784824712849,0.8447441196631826,1.3733747330584816,0.2795959909374097,
bootstrap,0,RPW K* (no refinement),31,26.656883716583252,0.122555,0.9299165074776894,0.9206593822540979,0.7015584335319008,0.3248374949960081,0.909090909090909
bootstrap,1,ZSH,32,28.358689546585083,0.091155,0.8995531793747641,0.9058380778492802,0.8493173728963751,0.28165980630317866,0.909090909090909
bootstrap,1,KMeans++ K*,31,33.12837767601013,0.09983,0.7836752277477094,0.8503403750832419,1.332178416399861,0.5215146754544135,
bootstrap,1,RPW K* (no refinement),31,27.376796007156372,0.135932,0.8869062941423943,0.9024425243698728,0.8527200490580351,0.3663615190226129,0.909090909090909
bootstrap,2,ZSH,32,27.626842260360718,0.087718,0.8125635808072903,0.8828031947512727,1.05867758903893,0.17774517021288852,0.8787878787878787
bootstrap,2,KMeans++ K*,31,31.595837831497192,0.09686,0.7531880461991552,0.8399247529979994,1.4259175248465275,0.30609968906536456,
bootstrap,2,RPW K* (no refinement),31,27.475059270858765,0.124141,0.8611652938923862,0.8973950771354389,0.8995228024626728,0.17834312552199455,0.8787878787878787
bootstrap,3,ZSH,31,27.005584001541138,0.08987,0.9072930618746291,0.9224900285395653,0.6990080575246314,0.24132265281608178,0.909090909090909
bootstrap,3,KMeans++ K*,31,31.84445548057556,0.092805,0.7241541401216555,0.8462313394504474,1.3710855917508016,0.35747737587348166,
bootstrap,3,RPW K* (no refinement),31,26.528742790222168,0.122464,0.9144275070156316,0.916369955944675,0.7365126296749758,0.21046189604313276,0.909090909090909
bootstrap,4,ZSH,31,28.309332847595215,0.091589,0.765863834829595,0.864714703017055,1.2136992191421465,0.23701505831975633,0.8787878787878787
bootstrap,4,KMeans++ K*,31,32.57413458824158,0.10068,0.7847088482090528,0.8489889633436423,1.342428973895225,0.3156587210314391,
bootstrap,4,RPW K* (no refinement),31,28.14095163345337,0.151349,0.7781252423336509,0.8711274529512029,1.1251496941758965,0.19470855785686617,0.8787878787878787
bootstrap,5,ZSH,31,27.313400745391846,0.090418,0.7772180816734403,0.8711490566886818,1.1529515487984068,0.47112750353146726,0.9393939393939392
bootstrap,5,KMeans++ K*,31,32.93755912780762,0.096183,0.7362701258133837,0.8437654730611802,1.4079190793467493,0.4178728533643962,
bootstrap,5,RPW K* (no refinement),31,27.086585998535156,0.154007,0.7747019983007741,0.8719821836283523,1.1177593825717296,0.39351376232730706,0.9393939393939392
bootstrap,6,ZSH,32,27.57522177696228,0.08835,0.7936582059366782,0.8778210912581068,1.1041143001006624,0.23488007584321735,0.9393939393939392
bootstrap,6,KMeans++ K*,31,32.32595944404602,0.095464,0.7634464789849059,0.8461559053844794,1.3719920612176408,0.3762467016918257,
bootstrap,6,RPW K* (no refinement),31,26.884126663208008,0.133883,0.8625414860579366,0.8955836162446836,0.9145649022277713,0.20999825759059348,0.9393939393939392
bootstrap,7,ZSH,31,27.490005016326904,0.099982,0.7640408919088792,0.8720227809068005,1.14124499359574,0.2866670566469664,0.9393939393939392
bootstrap,7,KMeans++ K*,31,33.28578066825867,0.102118,0.7775062458908572,0.8531378571016367,1.3099116894784393,0.3782186142660838,
bootstrap,7,RPW K* (no refinement),31,27.105104207992554,0.1122,0.8040742460730195,0.8874275060653228,0.9889719143457443,0.189338523405283,0.9393939393939392
