kind,replicate,method,cluster,jaccard
seed,2,RPW K* (no refinement),9,0.9420178799489144
seed,2,RPW K* (no refinement),10,0.7240004689881581
seed,2,RPW K* (no refinement),11,0.8895783611774065
seed,2,RPW K* (no refinement),12,0.839851024208566
seed,2,RPW K* (no refinement),13,0.09931286235774103
seed,2,RPW K* (no refinement),14,0.2921306607275427
seed,2,RPW K* (no refinement),15,0.8245052968219069
seed,2,RPW K* (no refinement),16,0.7597359735973598
seed,2,RPW K* (no refinement),17,0.5002363321254136
seed,2,RPW K* (no refinement),18,0.6452028332260141
seed,2,RPW K* (no refinement),19,0.5887156644394952
seed,2,RPW K* (no refinement),20,0.6115965051628276
seed,2,RPW K* (no refinement),21,0.36625194401244165
seed,2,RPW K* (no refinement),22,0.9105555555555556
seed,2,RPW K* (no refinement),23,0.5060182956186808
seed,2,RPW K* (no refinement),24,0.41934404283801874
seed,2,RPW K* (no refinement),25,0.7124624624624625
seed,2,RPW K* (no refinement),26,0.8564814814814815
seed,2,RPW K* (no refinement),27,0.8231197771587744
seed,2,RPW K* (no refinement),28,0.8837876614060258
seed,2,RPW K* (no refinement),29,0.8963531669865643
seed,2,RPW K* (no refinement),30,0.9743589743589743
seed,3,ZSH,0,0.9647977684797768
seed,3,ZSH,1,0.9048780487804878
seed,3,ZSH,2,0.913445945945946
seed,3,ZSH,3,0.9227600411946447
seed,3,ZSH,4,0.9275392380557285
seed,3,ZSH,5,0.9109801488833746
seed,3,ZSH,6,0.884167548767579
seed,3,ZSH,7,0.41419606145855875
seed,3,ZSH,8,0.9119750226608924
seed,3,ZSH,9,0.9414012738853503
seed,3,ZSH,10,0.9420421984891899
seed,3,ZSH,11,0.7359794848924072
seed,3,ZSH,12,0.910517048183128
seed,3,ZSH,13,0.8636594878751908
seed,3,ZSH,14,0.7889366272824919
seed,3,ZSH,15,0.36146770443748105
seed,3,ZSH,16,0.794577685088634
seed,3,ZSH,17,0.7278717329233473
seed,3,ZSH,18,0.36777436470259706
seed,3,ZSH,19,0.26134709540823076
seed,3,ZSH,20,0.3807464724624488
seed,3,ZSH,21,0.5941503504955281
seed,3,ZSH,22,0.32871609824234665
seed,3,ZSH,23,0.44922788956481047
seed,3,ZSH,24,0.6741624598439652
seed,3,ZSH,25,0.4212794166390454
seed,3,ZSH,26,0.6212765957446809
seed,3,ZSH,27,0.4868624420401855
seed,3,ZSH,28,0.17445054945054944
seed,3,ZSH,29,0.8676470588235294
seed,3,ZSH,30,0.7015706806282722
seed,3,KMeans++ K*,0,0.9820491024551228
seed,3,KMeans++ K*,1,0.937135694139768
seed,3,KMeans++ K*,2,0.9464718509798491
seed,3,KMeans++ K*,3,0.8300683077716201
seed,3,KMeans++ K*,4,0.9651085756348914
seed,3,KMeans++ K*,5,0.7678266676560065
seed,3,KMeans++ K*,6,0.6709904067017971
seed,3,KMeans++ K*,7,0.7677655108070285
seed,3,KMeans++ K*,8,0.5433847116814021
seed,3,KMeans++ K*,9,0.9223555070883315
seed,3,KMeans++ K*,10,0.8783233276157805
seed,3,KMeans++ K*,11,0.9934019530219055
seed,3,KMeans++ K*,12,0.6812421668291324
seed,3,KMeans++ K*,13,0.24643175735950046
seed,3,KMeans++ K*,14,0.8740718290650098
seed,3,KMeans++ K*,15,0.24230740152717925
seed,3,KMeans++ K*,16,0.6440051201820509
seed,3,KMeans++ K*,17,0.8761277737137284
seed,3,KMeans++ K*,18,0.5939748953974895
seed,3,KMeans++ K*,19,0.69110337972167
seed,3,KMeans++ K*,20,0.5040413837698028
seed,3,KMeans++ K*,21,0.25627615062761505
seed,3,KMeans++ K*,22,0.3743827160493827
seed,3,KMeans++ K*,23,0.5727386411004586
seed,3,KMeans++ K*,24,0.8063337393422655
seed,3,KMeans++ K*,25,0.657331136738056
seed,3,KMeans++ K*,26,0.9200887902330743
seed,3,KMeans++ K*,27,0.7722772277227723
seed,3,KMeans++ K*,28,0.9114688128772636
seed,3,KMeans++ K*,29,0.9859154929577465
seed,3,KMeans++ K*,30,0.45640074211502785
seed,3,RPW K* (no refinement),0,0.8629921835050041
seed,3,RPW K* (no refinement),1,0.9640628482282149
seed,3,RPW K* (no refinement),2,0.913445945945946
seed,3,RPW K* (no refinement),3,0.8487546624954879
seed,3,RPW K* (no refinement),4,0.9250411861614497
seed,3,RPW K* (no refinement),5,0.9015324640408657
seed,3,RPW K* (no refinement),6,0.41497727436692877
seed,3,RPW K* (no refinement),7,0.8932694189004109
seed,3,RPW K* (no refinement),8,0.945478432231224
seed,3,RPW K* (no refinement),9,0.9414012738853503
seed,3,RPW K* (no refinement),10,0.7333036012933437
seed,3,RPW K* (no refinement),11,0.9049816966417317
seed,3,RPW K* (no refinement),12,0.8610215509927032
seed,3,RPW K* (no refinement),13,0.09737051242182371
seed,3,RPW K* (no refinement),14,0.3629562228288343
seed,3,RPW K* (no refinement),15,0.7936143572621035
seed,3,RPW K* (no refinement),16,0.7203073545554336
seed,3,RPW K* (no refinement),17,0.3666109718741298
seed,3,RPW K* (no refinement),18,0.2608293713681986
seed,3,RPW K* (no refinement),19,0.63968015992004
seed,3,RPW K* (no refinement),20,0.3937225940456958
seed,3,RPW K* (no refinement),21,0.32814134604207834
seed,3,RPW K* (no refinement),22,0.9380681818181819
seed,3,RPW K* (no refinement),23,0.35615384615384615
seed,3,RPW K* (no refinement),24,0.42813141683778233
seed,3,RPW K* (no refinement),25,0.513177159590044
seed,3,RPW K* (no refinement),26,0.7806818181818181
seed,3,RPW K* (no refinement),27,0.8648648648648649
seed,3,RPW K* (no refinement),28,0.8666666666666667
seed,3,RPW K* (no refinement),29,0.9134615384615384
seed,3,RPW K* (no refinement),30,0.9743589743589743
seed,4,ZSH,0,0.9960140950840506
seed,4,ZSH,1,0.9310939907550076
seed,4,ZSH,2,0.987140902872777
seed,4,ZSH,3,0.9896747910374377
seed,4,ZSH,4,0.9556181754138782
seed,4,ZSH,5,0.9484451105282877
seed,4,ZSH,6,0.8918407567993694
seed,4,ZSH,7,0.6789970027048761
seed,4,ZSH,8,0.9609653725078698
seed,4,ZSH,9,0.9907104540102054
seed,4,ZSH,10,0.9288979177247334
seed,4,ZSH,11,0.6982019038664943
seed,4,ZSH,12,0.9120755925688662
seed,4,ZSH,13,0.8172372679270993
seed,4,ZSH,14,0.9411764705882353
seed,4,ZSH,15,0.7152389819987586
seed,4,ZSH,16,0.9041095890410958
seed,4,ZSH,17,0.35219399538106233
seed,4,ZSH,18,0.5594698876027512
seed,4,ZSH,19,0.190771259063942
seed,4,ZSH,20,0.5275754422476587
seed,4,ZSH,21,0.8795825528498796
seed,4,ZSH,22,0.2176170072511536
seed,4,ZSH,23,0.8261530663963508
seed,4,ZSH,24,0.9533445756042721
seed,4,ZSH,25,0.2841633231059712
seed,4,ZSH,26,0.6976411722659042
seed,4,ZSH,27,0.4538087520259319
seed,4,ZSH,28,0.9488636363636364
seed,4,ZSH,29,0.9577735124760077
seed,4,ZSH,30,0.7486910994764397
seed,4,KMeans++ K*,0,0.9532565130260521
seed,4,KMeans++ K*,1,0.7220453043321516
seed,4,KMeans++ K*,2,0.4844223007063572
seed,4,KMeans++ K*,3,0.613909527972028
seed,4,KMeans++ K*,4,0.9458215823066647
seed,4,KMeans++ K*,5,0.3878053932267831
seed,4,KMeans++ K*,6,0.7690438759468343
seed,4,KMeans++ K*,7,0.7407407407407407
seed,4,KMeans++ K*,8,0.49427402862985687
seed,4,KMeans++ K*,9,0.8714764013392375
seed,4,KMeans++ K*,10,0.7516409266409266
seed,4,KMeans++ K*,11,0.797568710359408
seed,4,KMeans++ K*,12,0.5042425613757212
seed,4,KMeans++ K*,13,0.15550026657188556
seed,4,KMeans++ K*,14,0.8202357563850687
seed,4,KMeans++ K*,15,0.18628200229270156
seed,4,KMeans++ K*,16,0.7458502975258378
seed,4,KMeans++ K*,17,0.8633235004916421
seed,4,KMeans++ K*,18,0.5659296961985049
seed,4,KMeans++ K*,19,0.5516332982086407
seed,4,KMeans++ K*,20,0.602961432506887
seed,4,KMeans++ K*,21,0.5957648546144121
seed,4,KMeans++ K*,22,0.5232142857142857
seed,4,KMeans++ K*,23,0.6163334751169715
seed,4,KMeans++ K*,24,0.6708037825059102
seed,4,KMeans++ K*,25,0.9403254972875226
seed,4,KMeans++ K*,26,0.9497767857142857
seed,4,KMeans++ K*,27,0.7775947281713345
seed,4,KMeans++ K*,28,0.1858076563958917
seed,4,KMeans++ K*,29,0.9964912280701754
seed,4,KMeans++ K*,30,0.983739837398374
seed,4,RPW K* (no refinement),0,0.9676729260755883
seed,4,RPW K* (no refinement),1,0.9960140950840506
seed,4,RPW K* (no refinement),2,0.9872794419368075
seed,4,RPW K* (no refinement),3,0.9007054790004615
seed,4,RPW K* (no refinement),4,0.9898138391289076
seed,4,RPW K* (no refinement),5,0.9499542479059618
seed,4,RPW K* (no refinement),6,0.6640134365415511
seed,4,RPW K* (no refinement),7,0.9603607382550335
seed,4,RPW K* (no refinement),8,0.9415032679738562
seed,4,RPW K* (no refinement),9,0.9904487766583803
seed,4,RPW K* (no refinement),10,0.7028179019654274
seed,4,RPW K* (no refinement),11,0.9052732809745151
seed,4,RPW K* (no refinement),12,0.7952729127699371
seed,4,RPW K* (no refinement),13,0.9500542888165038
seed,4,RPW K* (no refinement),14,0.6985906955599334
seed,4,RPW K* (no refinement),15,0.74833903764848
seed,4,RPW K* (no refinement),16,0.36927038626609443
seed,4,RPW K* (no refinement),17,0.565743073047859
seed,4,RPW K* (no refinement),18,0.18923177938279712
seed,4,RPW K* (no refinement),19,0.7264516129032258
seed,4,RPW K* (no refinement),20,0.5049197307094769
seed,4,RPW K* (no refinement),21,0.22278056951423786
seed,4,RPW K* (no refinement),22,0.9445714285714286
seed,4,RPW K* (no refinement),23,0.854632587859425
seed,4,RPW K* (no refinement),24,0.3001245330012453
seed,4,RPW K* (no refinement),25,0.9266281945589447
seed,4,RPW K* (no refinement),26,0.9755799755799756
seed,4,RPW K* (no refinement),27,0.9710982658959537
seed,4,RPW K* (no refinement),28,0.9744360902255639
seed,4,RPW K* (no refinement),29,0.9901380670611439
seed,4,RPW K* (no refinement),30,0.9612676056338029
seed,5,ZSH,0,0.9643812709030101
seed,5,ZSH,1,0.9085035050289546
seed,5,ZSH,2,0.9190453590073904
seed,5,ZSH,3,0.9217785096747633
seed,5,ZSH,4,0.9341858364028077
seed,5,ZSH,5,0.9310191695655392
seed,5,ZSH,6,0.8779761904761905
seed,5,ZSH,7,0.4140366046980833
seed,5,ZSH,8,0.9218908500710083
seed,5,ZSH,9,0.9647043500911696
seed,5,ZSH,10,0.9482625482625483
seed,5,ZSH,11,0.7030744336569579
seed,5,ZSH,12,0.9083506306881686
seed,5,ZSH,13,0.8102693602693603
