target,method,positives,base_rate,ap,ap_lift,enrich@0.10,enrich@0.25,enrich@0.50,prec@0.25,clusters@0.25,share@0.25,ap_lift_lo,ap_lift_hi,enrich@0.10_lo,enrich@0.10_hi,enrich@0.25_lo,enrich@0.25_hi,enrich@0.50_lo,enrich@0.50_hi,d_ap_lift,d_ap_lift_lo,d_ap_lift_hi,d_ap_lift_p,d_enrich@0.10,d_enrich@0.10_lo,d_enrich@0.10_hi,d_enrich@0.10_p,d_enrich@0.25,d_enrich@0.25_lo,d_enrich@0.25_hi,d_enrich@0.25_p,d_enrich@0.50,d_enrich@0.50_lo,d_enrich@0.50_hi,d_enrich@0.50_p,d_ap_lift_p_holm,ap_lift_gt1
L2:P2WPKH,rank-power K-means (K*),275948,0.6245730854726301,0.8246274418015413,1.320305375270781,1.3613805098992011,1.3613805098992011,1.3613805098992011,0.8502816740638024,2.5,0.4931776293616795,1.3117843717752211,1.3292492422947206,1.3518476855067298,1.3718080297186,1.3518476855067298,1.3718080297186,1.3518476855067298,1.3718080297186,0.0026214490292417736,0.0010794849494080608,0.005279341265980235,0.003996003996003996,0.0009617387730269655,0.0005688517826698773,0.0032144104073193237,0.005994005994005994,0.0009617387730269655,0.0005688517826698773,0.0032144104073193237,0.005994005994005994,0.0009617387730269655,0.0005688517826698773,0.0032144104073193237,0.005994005994005994,0.027972027972027972,True
L2:P2WPKH,uniform + refinement,275948,0.6245730854726304,0.7526516401680543,1.205065802912444,1.2261784696906688,1.2261784696906688,1.2261784696906688,0.7658377909799048,3.5,0.5936405140307874,1.1988100094803917,1.2114964187163393,1.218830741270848,1.2333592793924424,1.218830741270848,1.2333592793924424,1.218830741270848,1.2333592793924424,-0.11261812332909527,-0.11998896470324949,-0.10425581070808304,0.001998001998001998,-0.13424030143550536,-0.14289625980153933,-0.12468784053911927,0.001998001998001998,-0.13424030143550536,-0.14289625980153933,-0.12468784053911927,0.001998001998001998,-0.13424030143550536,-0.14289625980153933,-0.12468784053911927,0.001998001998001998,0.017982017982017984,True
L2:P2WSH,ZSH,11386,0.021586672229743996,0.07102628617395197,3.2892334399969383,3.300132533326604,3.300132533326604,3.300132533326604,0.07125159078059126,3.5,0.19574594482052782,3.0760673257943445,3.4662458545114236,3.161406733339391,3.447296989408603,3.1567525474257625,3.4353484540192323,3.1567525474257625,3.4353484540192323,,,,,,,,,,,,,,,,,,True
L2:P2WSH,K-means++ (K*),11386,0.02158667222974399,0.06614733473091543,3.063605228501106,3.3167166726736443,3.3167166726736443,3.3167166726736443,0.07160588009396372,3.5,0.19698678237406392,2.8853848174193253,3.212622558797387,3.1671135340221865,3.4388351999425733,3.1671135340221865,3.437510615997397,3.1671135340221865,3.437510615997397,-0.22562821149583234,-0.33515405042280977,-0.10928414200863279,0.001998001998001998,0.016584139347040505,-0.06467381335303267,0.0678185585798084,0.8211788211788211,0.016584139347040505,-0.05297976415605554,0.06876921984048015,0.7972027972027972,0.016584139347040505,-0.05297976415605554,0.06876921984048015,0.7972027972027972,0.017982017982017984,True
L2:P2WSH,rank-power K-means (K*),11386,0.021586672229743996,0.07095203001537775,3.2858034438131227,3.299978488996796,3.299978488996796,3.299978488996796,0.07124829064751084,3.5,0.1957551124402857,3.0721123213353345,3.459760545714163,3.1597578657899588,3.4463391574451294,3.1566330288631956,3.4351441700966436,3.1566330288631956,3.4351441700966436,-0.0034299961838155646,-0.012209097647064635,0.00816480811610969,0.5754245754245755,-0.00015404432980803406,-0.008972801733434751,0.0007124157353139863,0.27172827172827174,-0.00015404432980803406,-0.003278354690480721,0.0008506285713016111,0.2817182817182817,-0.00015404432980803406,-0.003278354690480721,0.0008506285713016111,0.2817182817182817,1.0,True
L2:P2WSH,uniform + refinement,11386,0.02158667222974399,0.06899373277235375,3.1955041666895734,3.5066013476635307,3.5066013476635307,3.5066013476635307,0.07570076815097551,4.0,0.18401390096794148,3.0087616746685137,3.3695693469368737,3.373947682143039,3.640624175089361,3.373947682143039,3.640624175089361,3.373947682143039,3.640624175089361,-0.09372927330736491,-0.20209234150305708,0.03017627560887269,0.14985014985014986,0.20646881433692688,0.11758511067410214,0.2871622647520528,0.02197802197802198,0.20646881433692688,0.12828871568524283,0.2877435035372285,0.001998001998001998,0.20646881433692688,0.12828871568524283,0.2877435035372285,0.001998001998001998,0.2997002997002997,True
L2:P2TR,ZSH,116926,0.2541420198748082,0.6226212976371881,2.4498473643859153,3.7929364671805987,2.585321605148488,2.585321605148488,0.6570499821984237,3.0,0.23286354665499007,2.410588670372196,2.4904191898845185,3.7188266704705346,3.874482839470552,2.5440207227951466,2.6278338327310524,2.5440207227951466,2.6278338327310524,,,,,,,,,,,,,,,,,,True
L2:P2TR,K-means++ (K*),116926,0.254142019874808,0.5317726065317929,2.0924153492396176,3.495811959691302,2.306568207433272,2.306568207433272,0.5861966153898084,5.5,0.24176222154635607,2.049793325834044,2.1341154891451355,3.421654223507932,3.5818269693890126,2.2689892529593148,2.3455882431312234,2.2689892529593148,2.3455882431312234,-0.35743201514629774,-0.3855452631398963,-0.3339859049771992,0.001998001998001998,-0.29712450748929653,-0.3494409283082583,-0.24699536149500337,0.001998001998001998,-0.27875339771521634,-0.2971509362435425,-0.25880755502470826,0.001998001998001998,-0.27875339771521634,-0.2971509362435425,-0.25880755502470826,0.001998001998001998,0.017982017982017984,True
L2:P2TR,rank-power K-means (K*),116926,0.2541420198748082,0.6214183292913099,2.4451130659116127,3.7926694010040585,2.585397688489336,2.585397688489336,0.6570691947257816,3.0,0.2328620213485372,2.407224469058534,2.487791375768641,3.718506421874555,3.8742883588076404,2.5441236870314663,2.6280674223805307,2.5441236870314663,2.6280674223805307,-0.004734298474302623,-0.005542480041178654,-0.000697058156082686,0.007992007992007992,-0.0002670661765402649,-0.0009182116037442206,2.4820592507679418e-05,0.6953046953046953,7.608334084796553e-05,-0.00014012145068980074,0.0003088983665690104,0.5254745254745254,7.608334084796553e-05,-0.00014012145068980074,0.0003088983665690104,0.5254745254745254,0.03996003996003996,True
L2:P2TR,uniform + refinement,116926,0.2541420198748079,0.48499101812654977,1.9082943098543033,3.4627621777014506,2.1117196037389876,2.0499059152487433,0.5366959516277624,4.0,0.2249264366359104,1.8647532486960992,1.9473628088352724,3.3836281730752407,3.5431116292128086,2.0534302181987596,2.1523296748864325,2.0093350206712244,2.0886809228039462,-0.5415530545316121,-0.5783548849015245,-0.5114127949068922,0.001998001998001998,-0.3301742894791482,-0.3841865776673249,-0.28400962265372737,0.001998001998001998,-0.4736020014095006,-0.5204361877042758,-0.4469063286325615,0.001998001998001998,-0.5354156898997449,-0.573561371916596,-0.5031677212107065,0.001998001998001998,0.017982017982017984,True
