Contrast,Annotation type,Target,AP lift (test arm),AP lift (reference arm),Difference,95% CI low,95% CI high,p (Holm)
H1 secondary: rank-power vs uniform (with refinement),independent,Inputs: P2WPKH,1.7656643992389554,1.4769753195758466,0.2886890796631087,0.2815432601099298,0.2950618391113477,0.0219780219780219
H1 secondary: rank-power vs uniform (with refinement),independent,Inputs: P2WSH,7.272260666511544,7.013797539471423,0.2584631270401205,0.1575613430881713,0.3552919813873799,0.0219780219780219
H1 secondary: rank-power vs uniform (with refinement),independent,Inputs: P2TR,2.04860928257017,1.7752134301628748,0.273395852407295,0.2652110324821846,0.2823288641836381,0.0219780219780219
H1 secondary: rank-power vs uniform (with refinement),independent,Inputs: mixed,8.880797156812651,11.428660769547886,-2.5478636127352345,-2.6340345148310966,-2.474186287841756,0.0219780219780219
H1 secondary: rank-power vs uniform (with refinement),independent,OP_RETURN: Runes,1.93648396570592,1.951890917066938,-0.0154069513610182,-0.0198471780817281,-0.0111499309093821,0.0219780219780219
H1 secondary: rank-power vs uniform (with refinement),independent,OP_RETURN: Omni,26.227548035541403,16.569908161562843,9.65763987397856,7.017378503151208,11.8774080599211,0.0219780219780219
H1 secondary: rank-power vs uniform (with refinement),independent,OP_RETURN: other,7.230395765677095,4.905943953423793,2.3244518122533018,1.9610540158974,2.703523525634058,0.0219780219780219
H1 secondary: rank-power vs uniform (with refinement),independent,Tag: exchange,20.8450395797365,24.06086394342056,-3.2158243636840567,-3.609298390856357,-2.810358429900929,0.0219780219780219
H1 secondary: rank-power vs uniform (with refinement),structural,Rule: ManyInManyOut,22.230126219795352,31.32391431473843,-9.09378809494308,-9.34488013034314,-8.897717647206303,0.0099900099900099
H1 secondary: rank-power vs uniform (with refinement),structural,Rule: SingleInFanOut,21.63347050152536,27.439576215016388,-5.8061057134910286,-6.003483611857704,-5.61697514443327,0.0099900099900099
H1 secondary: rank-power vs uniform (with refinement),structural,Rule: FanIn,14.267838266763972,17.36495643200805,-3.097118165244078,-3.1916960806234616,-3.0131867482090677,0.0099900099900099
H1 secondary: rank-power vs uniform (with refinement),structural,Rule: FanOut,6.747114173968752,6.792687607887373,-0.0455734339186211,-0.0682010209976953,-0.0219285759799303,0.0099900099900099
H1 secondary: rank-power vs uniform (with refinement),structural,Rule: OneInOneOut,4.183253970267735,4.523896627912549,-0.340642657644814,-0.3627778587693167,-0.3236648410420116,0.0099900099900099
"H2 primary: refinement vs none (rank-power, K*)",independent,Coinbase,22.383111647815333,22.18439124710544,0.1987204007098952,0.1722282329018671,0.2263626047010173,0.0219780219780219
"H2 primary: refinement vs none (rank-power, K*)",independent,Inputs: P2PKH,23.34565606660712,23.29590564616461,0.0497504204425141,0.0406633424653602,0.059195837289604,0.0219780219780219
"H2 primary: refinement vs none (rank-power, K*)",independent,Inputs: P2SH,5.42531968556861,5.478742196789828,-0.0534225112212185,-0.0695664580197428,-0.0408995204932263,0.0219780219780219
"H2 primary: refinement vs none (rank-power, K*)",independent,Inputs: P2WPKH,1.7656643992389554,1.7634146423874686,0.0022497568514867,0.0016567646121244,0.0028421561463729,0.0219780219780219
"H2 primary: refinement vs none (rank-power, K*)",independent,Inputs: P2WSH,7.272260666511544,7.272951122829776,-0.0006904563182326,-0.0031451464037915,0.0070186490286012,0.6953046953046953
"H2 primary: refinement vs none (rank-power, K*)",independent,Inputs: P2TR,2.04860928257017,2.0459738683128386,0.0026354142573312,0.0023466731079083,0.0029047222903835,0.0219780219780219
"H2 primary: refinement vs none (rank-power, K*)",independent,Inputs: mixed,8.880797156812651,8.864523135811043,0.0162740210016085,-0.0024598731999529,0.0303411112467956,0.3596403596403597
"H2 primary: refinement vs none (rank-power, K*)",independent,OP_RETURN: Runes,1.93648396570592,1.9251229379444688,0.011361027761451,0.0095379459630698,0.013008242178248,0.0219780219780219
"H2 primary: refinement vs none (rank-power, K*)",independent,OP_RETURN: Omni,26.227548035541403,26.399939219053746,-0.1723911835123388,-0.4739673776599533,0.0068512164521432,0.2877122877122877
"H2 primary: refinement vs none (rank-power, K*)",independent,OP_RETURN: other,7.230395765677095,7.214530430317313,0.0158653353597815,0.0039635496062815,0.0309369267154925,0.1198801198801198
"H2 primary: refinement vs none (rank-power, K*)",independent,Tag: exchange,20.8450395797365,20.632535743332333,0.2125038364041671,-0.2577758385225465,0.6802747704797978,0.6953046953046953
"H2 primary: refinement vs none (rank-power, K*)",structural,Rule: ManyInManyOut,22.230126219795352,22.025042534014347,0.2050836857810054,0.1729676105955578,0.3284017939012428,0.0099900099900099
"H2 primary: refinement vs none (rank-power, K*)",structural,Rule: SingleInFanOut,21.63347050152536,21.982394041179745,-0.3489235396543861,-0.3831398426305752,-0.3208200688925154,0.0099900099900099
"H2 primary: refinement vs none (rank-power, K*)",structural,Rule: FanIn,14.267838266763972,14.176124101574532,0.0917141651894386,0.0574838535079247,0.119161230629199,0.0099900099900099
"H2 primary: refinement vs none (rank-power, K*)",structural,Rule: FanOut,6.747114173968752,6.756049475924009,-0.0089353019552564,-0.0134185930330165,-0.000702316830733,0.0719280719280719
"H2 primary: refinement vs none (rank-power, K*)",structural,Rule: OneInOneOut,4.183253970267735,4.183346184105808,-9.221383807300754e-05,-0.0005240100353103,0.0004807953313378,0.8071928071928072
"H2 secondary: refinement vs none (uniform, K_u)",independent,Coinbase,12.152775913399095,12.152775913399095,0.0,0.0,0.0,1.0
"H2 secondary: refinement vs none (uniform, K_u)",independent,Inputs: P2PKH,17.32604779338115,17.32604779338115,0.0,0.0,0.0,1.0
"H2 secondary: refinement vs none (uniform, K_u)",independent,Inputs: P2SH,2.564471948182029,2.564471948182029,0.0,0.0,0.0,1.0
"H2 secondary: refinement vs none (uniform, K_u)",independent,Inputs: P2WPKH,1.4769753195758466,1.4769753195758466,0.0,0.0,0.0,1.0
"H2 secondary: refinement vs none (uniform, K_u)",independent,Inputs: P2WSH,7.013797539471423,7.013797539471423,0.0,0.0,0.0,1.0
"H2 secondary: refinement vs none (uniform, K_u)",independent,Inputs: P2TR,1.7752134301628748,1.7752134301628748,0.0,0.0,0.0,1.0
"H2 secondary: refinement vs none (uniform, K_u)",independent,Inputs: mixed,11.428660769547886,11.428660769547886,0.0,0.0,0.0,1.0
"H2 secondary: refinement vs none (uniform, K_u)",independent,OP_RETURN: Runes,1.951890917066938,1.951890917066938,0.0,0.0,0.0,1.0
"H2 secondary: refinement vs none (uniform, K_u)",independent,OP_RETURN: Omni,16.569908161562843,16.569908161562843,0.0,0.0,0.0,1.0
"H2 secondary: refinement vs none (uniform, K_u)",independent,OP_RETURN: other,4.905943953423793,4.905943953423793,0.0,0.0,0.0,1.0
"H2 secondary: refinement vs none (uniform, K_u)",independent,Tag: exchange,24.06086394342056,24.06086394342056,0.0,0.0,0.0,1.0
"H2 secondary: refinement vs none (uniform, K_u)",structural,Rule: ManyInManyOut,31.32391431473843,31.32391431473843,0.0,0.0,0.0,1.0
"H2 secondary: refinement vs none (uniform, K_u)",structural,Rule: SingleInFanOut,27.439576215016388,27.439576215016388,0.0,0.0,0.0,1.0
"H2 secondary: refinement vs none (uniform, K_u)",structural,Rule: FanIn,17.36495643200805,17.36495643200805,0.0,0.0,0.0,1.0
"H2 secondary: refinement vs none (uniform, K_u)",structural,Rule: FanOut,6.792687607887373,6.792687607887373,0.0,0.0,0.0,1.0
"H2 secondary: refinement vs none (uniform, K_u)",structural,Rule: OneInOneOut,4.523896627912549,4.523896627912549,0.0,0.0,0.0,1.0
