profile,share,share_test,share_future,med_inputs,med_outputs,med_value_sat,med_fee_rate,med_vsize,top_script,top_script_share,rbf_share,opreturn_share,runes_share_test,exchange_tag_share,top_rule,top_rule_share,eocj_share_future,representative_txid
13,0.0285102872576687,0.0210270339287994,0.0223396381484618,3.0,2.0,1633914.9326086044,17.069105228799113,276.0,P2WPKH,0.5356053277773644,0.4201311747260106,0.0107150829674826,0.0541908179225319,0.0012330849446706,FanIn,0.5937516609441604,0.0002561912894961,ab694f2c7ab6b438229a552b090139e0deb49b958491196e03df92c20ce2f0ce
14,0.0270316303472888,0.0261962523166687,0.0138357322301143,1.0,2.0,3839606.046676636,17.954546204448274,170.0,P2SH,0.6121824337959952,0.4842029732941678,0.051707513958338,0.134391846983236,0.0035988967867793,FanOut,0.390945579299056,0.0,d05d508562642da9ec72403725c140d5ecbe9d1342c0782e6f7cfd516099b03f
15,0.0232357340975434,0.0280344975682232,0.0025136483500206,1.0,1.0,298775.0107422471,93.7090887666934,111.0,P2WPKH,0.7832761611603125,0.3907576725925732,0.004565078454134,0.4205586838909131,0.0001695600568678,OneInOneOut,0.994339302716874,0.0,10de1c5daa8cb1a0197e2a04b1f305060c671efc5a359240fd833d354c3ae149
16,0.0230660173789919,0.0204671642426282,0.011916977025809,1.0,3.0,7867983.728647232,25.99999879446636,347.0,P2PKH,0.5015569774928064,0.3713489863222483,0.0765743867348145,0.1027070966766229,0.0333469103522579,Unlabelled,0.3698774126581613,0.0,00f2930b103c1d4a292942db586f94070bb9b3b8422fca60eb28d698cdfa4eeb
17,0.0215158369943654,0.0181000027084228,0.0187168876028021,4.0,2.0,1630564.033985138,20.72009740492133,346.0,P2WPKH,0.507352734033862,0.4691382370341155,0.0055497647688537,0.0273407439076528,0.0027889680818097,FanIn,0.6775220441164042,0.0007016137115365,a98ad4a1bfb4b53665d3fa9e9081bda792922cb8e5ac15c3a585a10424d8b552
18,0.0208409099725543,0.0134508014996924,0.0007045943962131,2.0,2.0,1823999.918997288,139.99999437639994,210.0,P2WPKH,0.4967498945715241,0.4547820902467753,0.0132767170299707,0.065987803474859,0.0047842715255864,Unlabelled,0.4071720447307574,0.0,8700fe52ce0dd98efcf7ac70bd339d9dd8d3e5d2e7089b1628da72adc9beef7a
19,0.0195192410268346,0.0110573295724948,0.0005917123457593,1.0,3.0,3535654.954612255,142.9999937792703,212.0,P2PKH,0.3115858770921964,0.6090581622830171,0.2286898736142595,0.1196024914269718,0.008399838524361,FanOut,0.5510045647921001,0.0,18955a7d53c0eda490d3f71c9018e2ae71864ef20831d2ef909d7f2f0ca37e47
20,0.0179951242811284,0.0153749424460153,0.0137093509115725,6.0,2.0,2517591.9756293297,18.00000058018504,551.0,P2WPKH,0.38599120871718,0.3612341479023864,0.0057598059854825,0.0193270755215542,0.0127827273186587,FanIn,0.7130875591559022,0.0043484169044707,9fe193c615c0b9d196cc47fd2f5d561e09366f1c78535eadd0deaf76f7bbea40
21,0.017926934528139,0.0208927735410306,0.0068997985873468,2.0,8.0,7853021.845221519,50.118915266680204,521.0,P2TR,0.2680213686773059,0.2954929672707601,0.0079287259940492,0.0562057853994592,0.0489078982959156,SingleInFanOut,0.4686908304030295,0.0019971469329529,e7e7f92df1ac536d1472a3de14b296a91ce00f3bdf28c7039a736eea918dd29c
22,0.0142074108017417,0.0735878476937779,0.1114700105673627,1.0,1.0,134688.99996951222,4.107142867074539,111.0,P2WPKH,0.6583544870837689,0.2638921478700484,0.0027517651827044,0.8326568168673432,0.0001066575652211,OneInOneOut,0.9952644041041832,0.0,844589b19b5b8cf70522574a090b2a0af1416980c3624a4e4a8b416c7836469a
23,0.009246227439799,0.0072454179289851,0.0074054107400025,10.0,2.0,5438197.031617165,19.999999544030352,958.0,P2WPKH,0.2975187649546035,0.4098790520829919,0.0101609361172113,0.0194916159350635,0.0190107837031695,FanIn,0.7496148677439444,0.0105599214145383,657220c0fd5925602a0b53ee35fce0a30a1692643394d901e264c7eef114be8c
24,0.0091492464577696,0.0057716490038807,0.0044752258608817,1.0,25.0,22511400.282382965,27.409904720840704,1128.0,P2TR,0.3533074961078538,0.459405743813972,0.0035112126933651,0.0583227190453844,0.123289940044387,SingleInFanOut,0.7779986087647819,0.0216825672159583,b8f7ca4bc2446aa569c4a8177144e9aa6b681cff8aebd51dac6fd5523698a1e5
25,0.007880917052166,0.0025370183360224,0.0029374264851745,3.0,1.0,1974718.552082777,19.02782522038589,542.0,P2PKH,0.8497154283956314,0.1542455006922012,0.0056914320873711,0.0015250876925423,0.0371481310567605,FanIn,0.9076680510690665,0.0006257822277847,e0bdb9e3ddbc17fea9ea47cab8d558f21fe7f0e135bb290f7128220d76d39751
26,0.0060255496397156,0.0046197954753862,0.0036464831133662,22.0,2.0,9738761.55912876,16.037444052143538,2163.0,P2WPKH,0.2498742581229252,0.4280253495624183,0.0045267075746906,0.0257956448911222,0.0341011970626697,FanIn,0.6720148878382457,0.0204878048780487,cb6302a585c62f6223ebbf582f93ffb31386e4652b3869097e56283627976b61
27,0.0055858014993259,0.003525592660948,0.0029220338303973,63.0,1.0,57021164.894104,13.523565454019222,8891.0,P2PKH,0.4962291791004286,0.2523465899842656,0.0097118984319895,0.0145961369622475,0.4070316314904237,FanIn,0.7988172101350984,0.0017084282460136,bf3c4cb5928e2a90f9f31e8354c0b1b89b41af10e6629b360156c6a963d9c5c7
28,0.0035640510895813,0.0026027943185027,0.001698661315519,1.0,51.0,154953986.4063263,20.376475448985797,2027.5,P2WPKH,0.4346088435374149,0.1873299319727891,0.0027210884353741,0.0295822803627174,0.070578231292517,SingleInFanOut,0.5579081632653061,0.1337016574585635,df30f478d9a337fad40d0bd979a511dbc952090e168910719f7d125b432c7f3b
29,0.0026184865147944,0.0020761995411157,0.0011534013667834,2.0,193.0,249928176.40304565,13.169452110205452,6611.5,P2WPKH,0.6039351851851852,0.2395833333333333,0.0001157407407407,0.0130450987700335,0.0024305555555555,SingleInFanOut,0.4112268518518518,0.0788177339901477,c17fa5a7f1cbbcdeab3e6488e76cc5840e02d115724b002467b65a1e66c80221
30,0.0019581066402878,0.0011928667881587,0.0012801813260744,200.0,1.0,54453557.72972107,7.145012709368948,27875.0,P2TR,0.2720941030800186,0.4615384615384615,0.0007738740133106,0.0207590009730781,0.0112985605943352,FanIn,0.6017644327503482,0.0247011952191235,205307a76ee98751002e851ee6d7a5eee24a168d648e462b5a592d0a796c36f9
