period,method,profile,matched_to,jaccard,share
test,MiniBatchKMeans,21,18,0.05925811913190703,0.004548215729745834
test,MiniBatchKMeans,22,4,0.3691216393729749,0.020236948303946945
test,MiniBatchKMeans,23,24,0.05457585892368501,0.012682770174848038
test,MiniBatchKMeans,24,15,0.1160214935848229,0.0008125268424046152
test,MiniBatchKMeans,25,22,0.39492320273254744,0.1518307003594464
test,MiniBatchKMeans,26,0,0.13357008335686613,0.13104703756582434
test,MiniBatchKMeans,27,16,0.00029941498917499654,0.002616336432542861
test,MiniBatchKMeans,28,9,0.43247008868345976,0.04082483082030389
test,MiniBatchKMeans,29,25,0.03946995223670626,0.027238995097754716
test,MiniBatchKMeans,30,26,0.0002871238025632325,0.004121832596255412
test,GMM (diag),0,7,0.18618262641229857,0.01514433958979002
test,GMM (diag),1,22,0.0,0.013258503480323309
test,GMM (diag),2,30,0.5910105914408047,0.03378680069490391
test,GMM (diag),3,1,0.23266815845671254,0.02709699635910591
test,GMM (diag),4,14,0.1316758427844452,0.04733974842621289
test,GMM (diag),5,10,0.5128483460961554,0.013362197382115897
test,GMM (diag),6,4,0.0,0.009610644875470588
test,GMM (diag),7,25,0.6055943916671646,0.03814117073510464
test,GMM (diag),8,8,0.19370201898314612,0.0943835049312641
test,GMM (diag),9,13,0.3465362749456051,0.005731409579304555
test,GMM (diag),10,26,0.0065245514370887,0.00022673368078528786
test,GMM (diag),11,17,0.42163547565104925,0.39159808553199227
test,GMM (diag),12,21,0.162467688438366,0.06811992896193893
test,GMM (diag),13,5,0.19116707296868712,0.017189198809841634
test,GMM (diag),14,28,0.5607289604223883,0.03298510754373136
test,GMM (diag),15,0,0.17531956408465538,0.017500667432763403
test,GMM (diag),16,11,0.6177065280184865,0.010127179796713522
test,GMM (diag),17,23,0.0,0.008156995662654331
test,GMM (diag),18,16,0.1676320113743634,0.031217281285185316
test,GMM (diag),19,9,0.09962984435624136,0.0051800520791014226
test,GMM (diag),20,27,0.03293310463121784,0.02262500338552851
test,GMM (diag),21,29,0.07872495602556952,0.005436191493230878
test,GMM (diag),22,19,0.0,0.012774082715232556
test,GMM (diag),23,6,0.06313409792677548,0.006245236077739473
test,GMM (diag),24,2,0.1637244502145311,0.013138172124138625
test,GMM (diag),25,15,0.0,0.015174132240678189
