target,method,positives,base_rate,ap,ap_lift,enrich@0.10,enrich@0.25,enrich@0.50,prec@0.25,clusters@0.25,share@0.25,ap_lift_lo,ap_lift_hi,enrich@0.10_lo,enrich@0.10_hi,enrich@0.25_lo,enrich@0.25_hi,enrich@0.50_lo,enrich@0.50_hi,d_ap_lift,d_ap_lift_lo,d_ap_lift_hi,d_ap_lift_p,d_enrich@0.10,d_enrich@0.10_lo,d_enrich@0.10_hi,d_enrich@0.10_p,d_enrich@0.25,d_enrich@0.25_lo,d_enrich@0.25_hi,d_enrich@0.25_p,d_enrich@0.50,d_enrich@0.50_lo,d_enrich@0.50_hi,d_enrich@0.50_p,d_ap_lift_p_holm,max_lift,attained,attained_pct
L2:P2SH,GMM (diag),16956,0.03158440318087923,0.08882202394304145,2.811220203272862,4.7023945459189305,3.346789233534907,2.3587630727219704,0.1060835463534043,6.5,0.10906888466376437,2.712767889842363,2.922857494111108,4.4091945887516495,5.020594378578159,2.874656987935783,3.5064456311553385,2.2946222817115904,2.6716255057100033,-0.6009960223362762,-0.839414651777365,-0.3573600248313321,0.001998001998001998,-3.6921695891648136,-4.4657547325094,-2.792688256144819,0.001998001998001998,-1.6898329794799585,-2.3169918213537066,-1.0393676060344355,0.001998001998001998,0.9645325983306283,0.3941929074218035,1.2731746941011877,0.001998001998001998,0.017982017982017984,31.66119664421541,0.08882202394304145,8.882202394304144
L2:P2SH,BIRCH,16956,0.031584403180879274,0.06407995574166699,2.02731173036959,4.170705245765898,3.1497027828469513,0.9996560978841877,0.09951849768991149,7.5,0.08275141972912842,1.912153790412802,2.12486231666234,3.917139443582857,4.456335123028281,2.7837015663173017,3.280852945589382,0.9972565791488837,1.0024317624074286,-1.3849044952395486,-1.618718507377717,-1.1641342105745398,0.001998001998001998,-4.223858889317846,-4.963038962652432,-3.308806158542539,0.001998001998001998,-1.8869194301679144,-2.340835313335657,-1.2478482196858394,0.001998001998001998,-0.3945743765071543,-1.217975562203609,-0.37713238360122764,0.001998001998001998,0.017982017982017984,31.661196644215366,0.06407995574166699,6.407995574166699
L2:P2SH,Ward (sample + NC),16956,0.03158440318087922,0.07752531503697702,2.4542515500335766,4.665048167626661,3.267473292398999,2.477520114627324,0.10314591850275132,7.5,0.08000974230565189,2.2992501788975948,2.5484025494856164,3.908329954573648,5.442697417343875,2.8677272563498337,3.4806476797307337,1.8110633530459848,2.5921415705060498,-0.9579646755755618,-1.1947597043706224,-0.778092626071076,0.001998001998001998,-3.7295159674570835,-4.8534199502257325,-2.462517353795368,0.001998001998001998,-1.7691489206158666,-2.246874711677875,-1.218538322352148,0.001998001998001998,1.0832896402359817,0.3368840490849635,1.1904330812581976,0.00999000999000999,0.017982017982017984,31.661196644215423,0.07752531503697702,7.752531503697702
L2:P2SH,VKV-partial (K*),16956,0.03158440318087922,0.05751823014806708,1.821340851989318,1.654591976065628,1.654591976065628,1.654591976065628,0.052252372999799984,5.5,0.5760041529197841,1.7724580046932412,1.8958650328401643,1.6347286165108024,3.19266262020997,1.6344465663939363,1.676999005096606,1.6344465663939363,1.676999005096606,-1.5908753736198205,-1.808397880316636,-1.359561713294893,0.001998001998001998,-6.739972159018116,-7.325486322305682,-4.903153101624281,0.001998001998001998,-3.3820302369492374,-3.7192317749746153,-2.6618462415402915,0.001998001998001998,0.26036150167428596,-0.560355437429194,0.2893698367137547,0.06793206793206794,0.017982017982017984,31.661196644215423,0.05751823014806708,5.751823014806709
L2:P2WPKH,ZSH,275948,0.6245730854726301,0.8229902904871625,1.3176839262415392,1.3604187711261742,1.3604187711261742,1.3604187711261742,0.849680999941408,3.5,0.4941300845468707,1.3087513543397293,1.3266672968005317,1.3503339759109492,1.3705453538532222,1.3503339759109492,1.3705453538532222,1.3503339759109492,1.3705453538532222,,,,,,,,,,,,,,,,,,1.6010936482209683,0.8229902904871625,82.29902904871625
L2:P2WPKH,K-means++ (K*),275948,0.6245730854726304,0.7761748794418288,1.242730037761152,1.2697154911145991,1.2697154911145991,1.2697154911145991,0.7930288377840193,3.0,0.5763768013420777,1.2355432418841938,1.249965819095701,1.2615130879894219,1.2778885115340264,1.2615130879894219,1.2778885115340264,1.2615130879894219,1.2778885115340264,-0.07495388848038709,-0.08153736169206117,-0.0679889364013283,0.001998001998001998,-0.09070328001157502,-0.09874471468998314,-0.08210944002745257,0.001998001998001998,-0.09070328001157502,-0.09874471468998314,-0.08210944002745257,0.001998001998001998,-0.09070328001157502,-0.09874471468998314,-0.08210944002745257,0.001998001998001998,0.017982017982017984,1.6010936482209677,0.7761748794418288,77.61748794418288
L2:P2WPKH,MiniBatchKMeans,275948,0.6245730854726296,0.7145187009423559,1.144010277164083,1.1504157483035162,1.1504157483035162,1.1504157483035162,0.7185197856437903,5.0,0.6004385328793629,1.1385941340991876,1.1496991939716967,1.1437286894000314,1.1573100611802956,1.1437286894000314,1.1573100611802956,1.1437286894000314,1.1573100611802956,-0.1736736490774562,-0.18328877942043995,-0.16459593540454392,0.001998001998001998,-0.21000302282265793,-0.22171931379311882,-0.19888682494317658,0.001998001998001998,-0.21000302282265793,-0.22171931379311882,-0.19888682494317658,0.001998001998001998,-0.21000302282265793,-0.22171931379311882,-0.19888682494317658,0.001998001998001998,0.017982017982017984,1.6010936482209697,0.7145187009423559,71.45187009423559
L2:P2WPKH,GMM (diag),275948,0.62457308547263,0.7547903341628213,1.2084875811042042,1.378405224286126,1.3083655472159075,1.1524560906289882,0.8171731118300694,3.0,0.21463708691687688,1.2018788798077353,1.2145419226218055,1.3643945931664583,1.3935370679029988,1.2862127039639757,1.320553180216426,1.1469729751482485,1.157638648639871,-0.109196345137335,-0.11649532399087166,-0.10237912852553718,0.001998001998001998,0.017986453159951843,0.007271352630570166,0.030763650622415088,0.003996003996003996,-0.05205322391026668,-0.07179630403366269,-0.04239584304859531,0.001998001998001998,-0.20796268049718591,-0.21868426140866107,-0.19694649599736014,0.001998001998001998,0.017982017982017984,1.6010936482209686,0.7547903341628213,75.47903341628212
L2:P2WPKH,BIRCH,275948,0.6245730854726297,0.6423232942252426,1.0284200536724923,1.0241557675193231,1.0241557675193231,1.0241557675193231,0.6396604350636674,5.5,0.906661441604377,1.0228033560061096,1.0304722692592125,1.0211731102909105,1.0258342432588934,1.0211731102909105,1.0258342432588934,1.0211731102909105,1.0258342432588934,-0.28926387256904684,-0.30073011803660143,-0.2811863464594166,0.001998001998001998,-0.336263003606851,-0.3469385274876709,-0.3260126535047608,0.001998001998001998,-0.336263003606851,-0.3469385274876709,-0.3260126535047608,0.001998001998001998,-0.336263003606851,-0.3469385274876709,-0.3260126535047608,0.001998001998001998,0.017982017982017984,1.6010936482209694,0.6423232942252426,64.23232942252426
L2:P2WPKH,Ward (sample + NC),275948,0.6245730854726297,0.7991765938945825,1.279558728025609,1.3097648708361334,1.3097648708361334,1.3097648708361334,0.8180423341442955,2.0,0.5634310567027927,1.2717108934527717,1.2880276672158206,1.3010577922945596,1.318757942705073,1.3010577922945596,1.318757942705073,1.3010577922945596,1.318757942705073,-0.03812519821593008,-0.04372409636503507,-0.03221389253259993,0.001998001998001998,-0.0506539002900408,-0.05744013001179641,-0.04315359672746562,0.001998001998001998,-0.0506539002900408,-0.05744013001179641,-0.04315359672746562,0.001998001998001998,-0.0506539002900408,-0.05744013001179641,-0.04315359672746562,0.001998001998001998,0.017982017982017984,1.6010936482209694,0.7991765938945825,79.91765938945825
