target,method,positives,base_rate,ap,ap_lift,enrich@0.10,enrich@0.25,enrich@0.50,prec@0.25,clusters@0.25,share@0.25,ap_lift_lo,ap_lift_hi,enrich@0.10_lo,enrich@0.10_hi,enrich@0.25_lo,enrich@0.25_hi,enrich@0.50_lo,enrich@0.50_hi,d_ap_lift,d_ap_lift_lo,d_ap_lift_hi,d_ap_lift_p,d_enrich@0.10,d_enrich@0.10_lo,d_enrich@0.10_hi,d_enrich@0.10_p,d_enrich@0.25,d_enrich@0.25_lo,d_enrich@0.25_hi,d_enrich@0.25_p,d_enrich@0.50,d_enrich@0.50_lo,d_enrich@0.50_hi,d_enrich@0.50_p,d_ap_lift_p_holm,attained,max_lift
L2:P2WPKH,shared bound,1221160,0.47248690449713404,0.9986731867958134,2.113658774860256,2.1158436670371286,2.1158436670371286,2.115243095976805,0.9997054984331393,1.0,0.2138781783821107,2.1009443795182174,2.1258604054750103,2.1030931669353548,2.128127861375244,2.1030931669353548,2.128127861375244,2.102458509117838,2.127553463846683,0.34799437562130064,0.3403970694830305,0.3556071590114832,0.001998001998001998,0.15832558882457004,0.15358504204861426,0.16319494680264848,0.001998001998001998,0.15832558882457004,0.15358504204861426,0.16319494680264848,0.001998001998001998,0.23240641952605667,0.22729688042950633,0.2372249369653939,0.001998001998001998,0.001998001998001998,0.9986731867958134,2.1164607748532123
L2:P2WPKH,single bound,1221160,0.47248690449713404,0.998736424760051,2.113792499446396,2.1164542310904872,2.116460121495067,2.116463756459221,0.9999968111431414,5.0,0.12344521766173044,2.1011520493802767,2.1260831677131087,2.1037319803828693,2.1288021794265166,2.1037378641699336,2.1288023223918877,2.1037414100315117,2.1288024103681584,0.34812810020744056,0.3405538591806144,0.35573190756588546,0.001998001998001998,0.15893615287792873,0.15417168816808444,0.16378135413488748,0.001998001998001998,0.15894204328250838,0.1541718348055313,0.16378739101692877,0.001998001998001998,0.23362708000847254,0.22849137133635422,0.23849084264192588,0.001998001998001998,0.001998001998001998,0.998736424760051,2.1164607748532123
L2:P2WSH,profiles (ZSH),36881,0.014270074657317666,0.10376907917065564,7.272260666511544,9.372683892701428,7.997496721500544,7.997496721500544,0.11412302646855818,2.0,0.06825720408531094,7.148117263689976,7.39535627703817,9.124057333347201,9.639804656257631,7.893527436964116,8.225531875342707,7.823184140544629,8.111347858021915,,,,,,,,,,,,,,,,,,0.10376907917065564,70.07671816819837
L2:P2WSH,shared bound,36881,0.014270074657317666,0.927871141836329,65.02542553039618,67.99477244945759,67.99477244945759,67.99477244945759,0.9702379383878399,1.0,0.01289536757367913,64.03048168017921,66.0145618041802,66.96469165237784,69.06300168303355,66.96469165237784,69.06300168303355,66.96469165237784,69.06300168303355,57.753164863884635,56.78248833754777,58.70730671409847,0.001998001998001998,58.622088556756154,57.65694281385532,59.67017315641158,0.001998001998001998,59.99727572795704,58.941094502344804,60.981389301247546,0.001998001998001998,59.99727572795704,59.0082366300087,61.07333594809708,0.001998001998001998,0.001998001998001998,0.927871141836329,70.07671816819837
L2:P2WSH,single bound,36881,0.014270074657317666,0.43608521725185967,30.552116630241578,30.745834452279283,30.745834452279283,30.745834452279283,0.4388515493041373,1.0,0.032256295598108435,30.176841489073666,30.940528688709215,30.358261822401808,31.138756994845686,30.358261822401808,31.138756994845686,30.358261822401808,31.138756994845686,23.279855963730036,22.944774483659746,23.641954691015837,0.001998001998001998,21.373150559577855,20.974435546356798,21.75414329051071,0.001998001998001998,22.74833773077874,22.354590650565214,23.072162982678076,0.001998001998001998,22.74833773077874,22.42174678935756,23.140025615052572,0.001998001998001998,0.001998001998001998,0.43608521725185967,70.07671816819837
L2:P2TR,profiles (ZSH),1058045,0.40937683192640095,0.8386519576446068,2.04860928257017,2.4265101293663713,2.420585825419585,2.109472982869728,0.9909312997361228,3.0,0.10461912175713609,2.0375710433049137,2.0600992985643827,2.409746536469537,2.4436825598619567,2.3398923583408786,2.4357002887266064,2.097830261887312,2.1222058839362328,,,,,,,,,,,,,,,,,,0.8386519576446068,2.4427371605137225
L2:P2TR,shared bound,1058045,0.40937683192640095,0.9981281426214983,2.4381672478711014,2.4404701412653633,2.4404701412653633,2.438071883191092,0.9990708564811439,1.0,0.18377244760536537,2.421348331170656,2.455761386796232,2.423612866746089,2.458038959880861,2.423612866746089,2.458038959880861,2.421265023905887,2.4557450760218273,0.38955796530093156,0.3814597242419194,0.39760896914144633,0.001998001998001998,0.013960011898991986,0.012540199359920191,0.015247825148679438,0.001998001998001998,0.01988431584577821,0.017827074185462477,0.08944261374619764,0.001998001998001998,0.3285989003213641,0.3216179389998207,0.33583222206872776,0.001998001998001998,0.001998001998001998,0.9981281426214983,2.4427371605137225
L2:P2TR,single bound,1058045,0.40937683192640095,0.998582582867283,2.4392769863690127,2.442739480138409,2.4427237287731307,2.442726403225345,0.9999935524989807,4.5,0.1217187661756895,2.422561434392087,2.456779733836124,2.4259328060280594,2.4602906893928074,2.425926114734147,2.4602681707004557,2.4259280320261185,2.460268608251757,0.39066770379884286,0.3824933774762441,0.3986303513641496,0.001998001998001998,0.016229350772037687,0.014887286373254704,0.017543157525777075,0.001998001998001998,0.022137903353545596,0.020044245422540054,0.09162159456414008,0.001998001998001998,0.333253420355617,0.3262249701993616,0.34051685136988913,0.001998001998001998,0.001998001998001998,0.998582582867283,2.4427371605137225
L2:mixed,profiles (ZSH),65717,0.0254273770310582,0.22581579964679493,8.880797156812651,11.421536085126156,11.421536085126156,8.639984630620912,0.29042225272420863,2.0,0.023495659479707477,8.758792341648377,8.988911523475927,11.253986440176877,11.584736064705089,11.253986440176877,11.584736064705089,8.193722675214884,8.771646683248628,,,,,,,,,,,,,,,,,,0.22581579964679493,39.32768994531181
L2:mixed,shared bound,65717,0.0254273770310582,0.9279010659622717,36.49323673272024,38.8331650106599,38.8331650106599,38.8331650106599,0.9873892461812124,1.0,0.01732024266016944,36.04806070885907,36.969522075746966,38.33477210442607,39.371275390617285,38.33477210442607,39.371275390617285,38.33477210442607,39.371275390617285,27.61243957590759,27.20661328339085,28.03617596444179,0.001998001998001998,27.41162892553374,26.967557759857215,27.872672722996338,0.001998001998001998,27.41162892553374,26.967557759857215,27.872672722996338,0.001998001998001998,30.193180380038985,29.788584911501633,30.90561990575333,0.001998001998001998,0.001998001998001998,0.9279010659622717,39.32768994531181
L2:mixed,single bound,65717,0.0254273770310582,0.7405522640382067,29.12383073721263,29.7176093657326,29.7176093657326,29.7176093657326,0.7556580680713507,1.0,0.03225779909738209,28.77697167058272,29.47214238641971,29.36981472562717,30.071234871025222,29.36981472562717,30.071234871025222,29.36981472562717,30.071234871025222,20.243033580399977,19.95348418931959,20.54891717945086,0.001998001998001998,18.296073280606443,17.992052070357662,18.619418733461355,0.001998001998001998,18.296073280606443,17.992052070357662,18.619418733461355,0.001998001998001998,21.077624735111687,20.78432531729384,21.660153246550244,0.001998001998001998,0.001998001998001998,0.7405522640382067,39.32768994531181
L3:runes,profiles (ZSH),1041406,0.40293337219818315,0.780256955436961,1.9364839657059199,2.0664743194967614,2.0412037727907837,1.9588679935208484,0.8224572546179407,2.0,0.22937193366713737,1.91955722255221,1.9534914741252156,2.0436312381807826,2.088975569235753,2.020578475607272,2.061963185737464,1.9415774042735974,1.9765599421214675,,,,,,,,,,,,,,,,,,0.780256955436961,2.4817998929811877
L3:runes,shared bound,1041406,0.40293337219818315,0.9981237559996763,2.477274976437184,2.480581046887038,2.480581046887038,2.480581046887038,0.9994552969936658,1.0,0.2138781783821107,2.4491335366348146,2.506207959558941,2.452335027380317,2.50961924474183,2.452335027380317,2.50961924474183,2.452335027380317,2.50961924474183,0.5407910107312641,0.5253228469814676,0.5559778570021815,0.001998001998001998,0.41410672739027676,0.3981293570003444,0.42937817165941744,0.001998001998001998,0.4393772740962545,0.4258269349471953,0.45333776780216173,0.001998001998001998,0.5217130533661898,0.5073775345730579,0.5353276781938,0.001998001998001998,0.001998001998001998,0.9981237559996763,2.4817998929811877
